archetype,total_insert_events,total_delete_events,total_copy_events,total_paste_events,avg_paste_length,max_paste_length,paste_to_insert_ratio,undo_events,redo_events,run_compile_events,avg_typing_speed,typing_burst_count,typing_pause_frequency,avg_pause_duration,longest_pause,key_latency_mean,key_latency_variance,paste_after_idle_time,typing_vs_paste_ratio,code_edit_distance,total_code_versions,avg_lines_added_per_revision,avg_lines_removed_per_revision,refactor_frequency,compile_error_count,error_fix_time,code_rewrite_ratio,function_rewrite_count,comment_addition_count,total_prompts_sent,avg_prompt_length,max_prompt_length,prompt_similarity_to_problem,prompt_refinement_count,prompt_entropy,clarification_prompt_ratio,solution_request_ratio,debugging_prompt_ratio,ai_response_acceptance_rate,ai_output_edit_distance,prompt_to_code_latency,session_duration,time_to_first_code,time_to_first_ai_prompt,ai_usage_early_ratio,ai_usage_late_ratio,iteration_cycle_count,avg_cycle_duration,focus_switch_count,browser_to_editor_ratio,idle_ratio
Exploratory Learner,2973.318,1461.688,14.0,9.0,0.0,0.0,0.0077,18.0,1.293,12.0,63.9,69.0,23.105,-0.1,-0.3,187.8,92.0,5.7,10.0,0.215,13.0,8.0,5.0,3.0,3.0,-3.3,0.616,2.0,1.708,1.0,8.768,11.0,0.147,0.0,3.055,0.889,0.17984610333171844,0.325,0.165,0.942,20.9,3302.0,119.0,1563.0,0.165,0.397,6.0,471.7,1.0,0.241,0.241
AI-Dependent Constructor,861.0,109.0,8.0,30.0,107.0,462.513,0.0348,8.0,9.305,1.0,194.946,29.0,35.0,21.2,98.209,294.1,68.7,47.2,1.341,0.326,4.493,18.0,5.0,8.0,0.0,106.6,0.06,0.0,0.0,29.0,15.0,41.0,0.899,1.846,1.938,0.1574811117367019,1.0,0.333,0.695,0.047,1.5,1348.0,262.318,148.0,0.627,0.318,6.0,192.6,57.0,0.7,0.595
Independent Solver,1362.0,553.0,12.0,0.0,3.0,4.0,0.0,26.0,6.0,17.0,88.4,42.0,55.0,8.7,38.7,135.7,71.8,-1.2,10.0,0.36,16.0,8.0,2.0,10.0,3.782,79.0,0.57,2.0,2.0,0.0,6.0,7.0,0.047,0.0,0.239,0.638,0.354,0.299,0.182,0.26,150.292,2899.0,145.0,1578.0,0.129,0.7014274218572957,4.0,579.8,0.0,0.15,0.141
Prompt Engineer Solver,1233.0,445.0,17.0,38.0,32.0,217.276,0.0308,9.0,2.0,11.0,53.6,68.0,377.756,1.0,54.4,223.9,141.2,12.2,5.066,0.27,9.0,21.0,15.0,4.0,3.0,61.3,0.172,0.0,35.322,14.0,56.0,117.0,0.352,1.0,0.53,0.506249895495989,0.796,0.107,0.805,0.697,61.2,2139.0,327.0,898.694,0.387,0.409,0.7829994766146214,713.0,23.0,0.579,0.479
Iterative Debugger,954.0,1202.891,10.0,0.0,27.0,35.0,0.0,7.651,20.162,37.0,290.834,25.0,34.0,6.8,24.5,137.8,65.5,-2.6,10.0,1.279,33.0,6.0,2.0,5.505,16.0,11.2,0.323,4.0,0.0,0.0,6.0,8.274,0.076,0.0,0.237,0.887,0.059,0.567,0.318,0.435,39.3,3656.0,150.0,1623.0,0.09235667132468797,0.495,8.0,1.0,0.0,0.13,0.133
Prompt Engineer Solver,471.0,193.0,16.0,18.0,21.0,52.0,0.0381,13.0,4.0,1.0,14.687,18.0,12.0,5.5,11.1,228.6,48.3,9.5,6.214,0.254,1.0,19.0,9.0,0.0,0.0,70.0,0.2,0.0,11.0,15.0,45.0,62.0,0.505,5.0,0.401,0.247,0.654,0.322,0.775,0.88,68.6,1.0,276.0,440.0,0.453,0.281,1.0,1306.0,27.0,1.0,0.687
Independent Solver,1097.0,469.0,2.0,0.0,41.605,67.0,0.0,22.0,4.0,10.0,280.279,32.0,17.0,2.0,5.3,196.1,53.4,8.0,1.0,0.341,13.0,2.151,0.0,10.0,4.0,-1.0,0.45,1.775,0.0,0.0,5.0,41.337,-0.019,0.0,0.281,0.718,0.203,0.231,0.219,0.464,21.2,2947.0,86.0,1615.0,0.153,0.115,5.0,491.2,0.0,0.223,0.23
Structured Collaborator,2837.881,243.0,8.0,28.0,63.0,112.0,0.1144641811805024,21.251,4.0,1.0,88.0,25.0,19.0,10.4,31.8,136.4,54.8,9.8,1.915,0.241,1.0,97.818,6.0,0.0,0.0,48.4,0.07,0.0,9.0,63.521,27.0,32.0,0.436,4.0,0.266,0.23,0.734,0.161,0.478,0.885,83.923,2582.0,311.0,375.0,0.596,0.498,1.0,1291.0,160.866,1.0,0.453
Structured Collaborator,830.0,224.453,18.0,7.53,32.0,81.0,0.0096,1.372,0.0,1.0,51.1,88.767,15.0,9.7,114.649,234.8,62.9,4.0,10.0,0.257,1.0,17.0,10.0,8.119,0.0,39.3,0.125,0.0,4.0,13.0,26.0,37.0,0.444,5.0,0.335,0.17,0.759,0.129,0.59,0.724,56.1,1.0,273.0,137.0,0.317,0.208,3.0,664.8,19.0,0.409,0.34
Exploratory Learner,1454.0,526.0,4.0,0.0,4.0,4.0,0.0,20.0,7.0,23.776,79.7,37.0,46.0,7.5,20.4,150.6,32.8,-5.4,10.0,0.475,73.597,1.0,0.0,0.0,3.0,15.6,0.643,3.0,1.0,2.0,5.0,7.0,0.284,0.0,0.973,1.0,0.389,0.126,0.333,0.211,48.3,4140.0,128.0,1476.0,0.16,0.141,8.0,1.0,19.301,0.267,0.299
AI-Dependent Constructor,501.0,63.0,8.0,35.0,167.0,375.0,0.07268764753464481,4.0,1.0,5.0,31.094,17.0,12.0,26.9,157.0,517.2,110.3,34.3,0.428,0.518,7.0,16.0,6.0,1.0,8.661,102.7,0.6365613120024736,0.0,3.0,24.0,24.0,54.0,0.584,0.0,0.452,0.222,0.2554515034611963,0.199,0.871,0.029,17.6,957.0,41.0,8.057,0.662,0.463,10.0,87.0,31.0,0.691,0.701
Structured Collaborator,897.0,399.0,15.0,17.0,397.412,160.0,0.0189,7.0,1.0,10.0,49.9,41.0,24.0,1.0,105.5,240.5,128.7,-0.5,2.775,0.297,14.0,16.0,4.0,1.0,4.0,61.4,0.1653861788855056,1.0,9.0,12.0,19.013,11.0,0.384,5.0,0.553,0.115,0.859,0.302,0.489,2.869,49.4,2802.0,1291.7,1062.26,0.546,0.58,2.0,934.0,21.0,0.8363720643807329,0.382
Prompt Engineer Solver,946.0,339.0,4.0,22.0,44.0,80.0,0.0232,5.0,1.0,0.854,64.676,48.0,34.0,12.3,43.8,275.9,141.5,17.4,4.881,0.215,3.0,19.0,7.0,0.0,3.664,76.0,0.074,0.0,8.0,16.0,64.0,128.0,0.631,10.003,0.374,0.251,0.659,0.288,0.593,0.848,151.683,1.0,741.559,405.0,0.302,0.392,3.0,679.0,39.0,0.437,0.476
Prompt Engineer Solver,641.711,327.0,12.0,6.103,46.0,239.323,0.0374,5.0,0.0,1.0,52.9,32.0,30.0,15.8,67.2,226.8,87.6,11.9,2.898,0.236,1.0,13.0,5.0,0.0,0.0,79.2,0.105,0.0,11.0,8.0,67.0,91.0,0.426,5.0,2.172,0.113,0.877,1.0,0.616,0.376,15.484,2192.0,309.0,290.0,0.338,0.549,1.0,1096.0,10.0,0.343,0.372
AI-Dependent Constructor,289.0,60.0,2.0,68.326,132.0,329.0,0.2138,6.0,1.0,4.0,32.7,12.0,29.404,21.2,46.9,367.0,580.477,37.0,0.600112951614987,0.384,5.0,17.0,5.0,0.0,1.0,98.2,0.176,0.0,7.0,26.0,26.0,36.0,0.801,0.0,0.339,0.162,0.764,0.326,0.727,0.058,-8.1,1460.0,29.0,52.0,0.603,0.546,17.0,81.1,64.0,0.555,0.59
AI-Dependent Constructor,253.0,138.0,1.0,49.0,107.0,248.0,0.1929,0.0,0.0,7.0,18.4,7.0,5.0,25.0,95.1,652.2,470.8,28.1,0.241,0.264,10.0,28.0,15.0,1.0,1.0,95.3,0.091,0.0,2.0,28.0,15.0,33.0,2.449,2.0,0.509,0.181,0.804,0.377,0.873,0.08,-11.1,1434.0,25.0,126.0,0.629,0.352,22.0,62.3,49.0,0.648,0.732
Independent Solver,1359.0,510.0,0.0,3.395,38.0,47.0,0.0015,18.737,1.0,11.0,108.3,39.0,253.7,7.6,31.8,110.8,209.852,2.6,10.0,0.242,10.0,8.0,5.0,13.0,2.0,22.6,0.439,4.0,4.0,0.0,23.0,31.0,0.135,0.0,0.639,0.641,0.312,0.168,0.285,0.289,9.2,3323.0,116.0,1357.0,0.033,0.441,13.0,237.4,0.0,0.11,0.129
Prompt Engineer Solver,1373.488,288.0,13.0,20.0,52.0,106.0,0.0322,29.708,3.0,1.708,58.4,22.0,29.972,5.2,13.8,205.5,137.0,13.2,2.983,0.286,1.0,28.674,15.0,2.0,0.0,33.8,0.16,0.0,11.0,13.0,57.0,151.582,0.265,2.0,0.561,0.104,0.843,0.32,0.716,0.56,65.8,2145.0,298.0,159.0,0.479,0.45,1.0,1072.5,17.0,0.583,1.0
Prompt Engineer Solver,996.0,424.0,15.0,27.0,72.0,89.0,0.0271,7.0,2.0,6.574,74.7,26.0,13.0,1.0,46.9,160.6,72.4,7.5,2.56,0.194,71.907,20.0,10.0,0.0,4.0,47.8,0.15815050764057245,0.0,6.0,12.0,71.0,211.0,0.521,7.0,0.299,0.211,0.779,0.355,0.57,0.737,62.2,1799.0,302.0,313.0,0.346,0.507,1.0,899.5,70.14,0.527,1.0
Independent Solver,1822.0,822.0,4.0,0.0,0.0,0.0,0.0,21.0,7.0,14.0,96.7,99.0,91.0,4.6,9.4,124.1,295.05,-11.4,10.0,0.235,21.785,9.0,3.0,13.0,8.929,-2.1,0.449,3.0,1.0,0.0,5.0,7.0,0.153,0.0,0.305,0.775,0.18,0.25,0.212,0.493,46.2,2051.0,262.303,1516.0,0.195,0.147,5.0,1.0,0.0,0.164,0.17
Structured Collaborator,708.0,307.0,8.0,25.0,32.0,70.0,0.0353,0.0,0.0,5.0,48.461,31.0,26.139,11.1,43.7,144.2,61.5,18.864,4.419,0.27,6.0,23.0,55.457,3.0,0.0,38.4,0.093,0.0,12.0,16.0,41.0,116.0,0.344,2.0,0.39,0.129,0.861,0.223,0.588,0.877,64.1,1.0,321.0,342.0,0.575,0.464,1.0,1010.0,22.0,0.12299039879205205,0.32
Structured Collaborator,1430.0,590.0,22.0,98.349,47.0,116.0,0.02090271577808103,3.0,1.0,9.0,96.7,48.0,66.0,14.8,35.9,124.1,81.4,19.5,6.908,0.33,8.0,16.0,7.0,1.0,3.0,52.475,0.146,0.0,9.0,12.0,22.0,53.0,0.444,7.0,0.405,0.206,0.712,0.13,0.414,0.745,50.9,1.0,309.0,567.0,0.367,0.303,1.0,1404.0,25.0,0.345,0.385
Iterative Debugger,4184.297,665.0,1.0,0.0,46.0,127.0,0.0,60.525,4.0,36.0,105.3,49.0,57.0,3.3,16.7,114.0,74.8,-15.904,10.0,0.273,40.0,6.0,3.0,11.0,7.0,132.866,0.613,2.0,0.0,25.849,17.0,98.531,0.148,1.0,0.439,1.0,0.298,0.695,0.169,0.407,23.5,3652.0,105.0,1514.0,0.164,1.0,10.0,332.0,13.0,0.18,0.165
Independent Solver,1772.0,706.0,1.0,4.0,0.0,0.0,0.0023,27.0,8.0,11.0,302.197,74.0,157.696,-2.9,-16.0,137.904,130.3,11.0,10.0,0.314,13.0,4.0,1.0,12.0,6.0,3.9,0.652,3.0,0.0,3.0,18.0,24.0,0.225,0.0,0.246,0.862,0.079,0.275,0.02514179952639019,0.915,16.8,2564.0,103.0,1605.0,0.081,0.32,9.0,256.4,6.0,0.135,0.1924883946007348
Prompt Engineer Solver,2096.536,372.0,12.0,14.0,73.0,206.0,0.0147,5.0,1.0,4.0,80.6,36.0,32.0,1.0,111.5,148.9,81.2,33.037,1.0,0.361,4.0,22.0,16.0,4.0,0.0,54.9,0.168,0.0,5.361,6.0,66.0,193.0,0.361,4.0,0.258,0.274,0.642,0.149,0.756,1.658,58.1,2928.0,326.0,338.0,0.402,0.5349728951785137,2.0,976.0,23.319,0.549,1.0
AI-Dependent Constructor,711.0,125.0,3.594,54.0,161.0,443.0,0.0758,3.286,1.0,3.0,29.9,24.0,25.0,1.0,371.49,812.607,228.2,63.713,0.409,0.345,4.0,26.0,22.0,0.0,0.0,88.5,0.053,0.0,4.0,73.38,21.397,9.0,0.586,1.0,0.526,0.163,0.763,0.297,0.784,0.086,12.7,978.0,10.0,22.448,0.812,0.558,27.0,34.9,50.0,0.745,0.604
AI-Dependent Constructor,10.0,113.634,9.455,49.0,136.0,388.0,4.4545,7.0,1.0,3.0,41.8,5.0,5.0,1.0,67.6,287.1,364.542,75.748,0.03136158440045654,0.249,2.0,22.0,16.0,0.0,0.0,86.8,0.197,0.0,19.807,25.0,22.0,46.0,0.768,0.0,0.589,0.195,0.712,0.328,0.91,0.029,17.608,724.0,17.0,117.0,0.847,0.393,13.0,51.7,47.0,0.783,0.757
Structured Collaborator,760.0,759.224,8.0,16.0,45.0,123.0,0.021,3.815,0.0,11.0,54.0,165.885,123.169,10.4,30.7,222.2,141.8,9.7,5.27,0.145,13.0,27.0,21.0,4.0,4.0,62.3,0.5330971810175523,0.0,10.0,34.923,18.0,48.0,0.343,5.0,0.254,0.271,0.636,0.395,0.394,0.623,59.8,2129.0,325.0,166.0,0.554,0.251,1.0,1064.5,27.0,0.435,0.36
Independent Solver,1859.0,834.0,0.0,0.0,21.0,42.0,0.0,22.0,6.0,6.0,89.2,121.0,142.0,5.3,17.7,134.5,60.7,6.7,10.0,0.541,7.0,12.0,10.0,28.705,1.449,40.9,0.399,5.0,1.0,3.0,21.0,59.0,0.262,0.0,0.27,0.5797148434090709,0.143,0.255,0.264,0.353,38.6,3149.0,68.0,1321.0,0.054,0.17,17.0,174.9,5.0,0.11,0.37457593302370523
Structured Collaborator,637.0,245.0,16.0,3.0,0.0,0.0,0.0047,0.0,0.0,4.55,122.685,18.0,22.0,14.1,65.8,164.8,425.705,19.1,10.0,0.307,14.0,20.0,9.0,0.0,2.0,69.0,0.137,0.0,12.424,13.0,14.0,61.476,0.309,4.0,0.407,0.285,0.672,1.0,0.648,0.661,51.9,3122.0,554.769,292.0,0.321,1.0,2.0,1040.7,19.0,0.593,0.556
Prompt Engineer Solver,1269.0,590.0,14.0,11.852,100.0,234.0,0.0126,3.0,1.0,6.0,64.2,64.0,73.0,14.2,74.4,715.896,71.1,10.11,3.963,0.15,5.0,20.0,11.0,6.0,2.0,67.6,0.126,0.0,10.0,12.0,42.456,101.0,0.381,4.0,0.265,0.105,0.821,0.161,0.638,0.87,66.1,2708.0,314.0,287.0,0.593,0.252,1.0,1354.0,21.0,0.424,0.449
AI-Dependent Constructor,16.0,66.0,9.0,56.0,95.0,154.0,3.2941,10.0,3.0,7.0,58.473,5.0,5.0,23.5,42.602,296.3,641.243,29.5,0.015,0.103,6.0,23.0,19.0,16.657,4.0,93.1,0.131,0.879,3.0,24.0,24.0,62.0,3.737,1.0,0.464,0.192,0.753,0.261,0.846,0.084,2.1,659.0,39.0,63.0,0.747,0.251,6.0,94.1,48.0,0.754,1.0
Iterative Debugger,1475.0,592.0,1.0,0.0,0.0,0.0,0.0,13.0,16.372,35.0,91.4,81.0,97.0,-1.0,-5.3,131.3,75.3,6.6,10.0,0.471,31.0,6.0,2.0,23.64,47.511,9.5,0.505,5.0,3.0,7.0,18.502,25.0,0.089,0.0,0.469,0.629,0.337,0.645,0.257,0.287,38.1,3779.0,169.0,1469.0,0.115,0.032,5.0,629.8,15.0,0.199,0.214
AI-Dependent Constructor,10.0,93.105,8.0,35.0,128.0,179.0,3.1818,1.249,0.0,1.0,74.315,5.0,27.122,30.1,78.4,502.1,123.8,111.164,0.011,1.58,1.0,25.0,16.0,0.0,0.0,58.4,0.062,0.0,0.0,25.0,20.0,56.0,0.717,0.0,0.536,0.148,0.848,0.157,0.796,0.064,-7.617,1.0,116.355,61.333,0.818,0.228,5.0,184.5,52.0,0.542,0.55
Independent Solver,2073.0,853.0,10.0,25.0,0.0,0.0,0.0121,81.08,4.0,18.0,102.4,125.0,89.0,1.6,6.9,117.2,29.3,8.8,10.0,1.614,25.0,35.275,4.0,8.0,4.0,45.1,1.0,6.0,17.477,0.0,57.0,39.0,0.248,0.0,0.584,0.891,0.087,0.296,0.272,0.457,48.8,1.0,178.848,1526.0,0.187,0.394,5.0,508.7,0.0,0.131,0.21610497374164048
AI-Dependent Constructor,10.0,56.0,7.0,54.0,143.0,155.046,4.9091,3.0,0.0,5.0,31.4,5.0,3.0,1.0,90.6,382.2,130.3,39.3,0.006,0.104,5.0,84.835,16.0,0.0,2.0,90.8,0.122,0.0,3.0,22.0,5.0,9.0,0.68,1.0,0.291,0.183,0.786,0.151,1.0,0.038,99.51,1125.0,69.0,116.0,0.621,0.326,3.0,281.2,46.0,0.562,0.498
Independent Solver,1511.0,576.0,6.0,14.0,0.0,0.0,0.0093,19.0,5.0,8.0,81.4,73.0,107.0,6.5,20.7,147.4,67.2,3.1,10.0,0.305,7.509,4.0,2.0,12.0,4.0,61.2,0.51,24.555,2.0,0.0,10.0,27.0,0.016,0.0,0.575,0.531,0.1407206900401933,0.306,1.0,0.233,35.3,2198.0,89.0,1471.0,0.06670972394344397,0.208,8.0,244.2,0.0,0.107,0.112
AI-Dependent Constructor,294.0,37.0,0.0,32.0,178.0,215.0,0.1085,7.0,0.0,8.0,11.6,14.0,12.0,13.3,51.3,1342.108,702.7,36.1,0.258,0.169,8.0,24.0,8.0,6.778,2.0,71.7,0.076,0.0,2.0,20.0,7.0,9.0,0.742,0.0,0.416,0.237,0.668,0.143,0.793,0.049,1.8,916.0,10.0,66.0,1.0,0.265,1.0,45.8,24.0,0.757,0.782
Independent Solver,1616.0,641.0,16.0,0.0,0.0,0.0,0.0,15.0,4.0,13.0,86.2,49.0,57.0,-6.1,-26.3,139.2,91.3,5.6,10.0,0.529,14.0,7.0,5.0,5.0,3.0,12.1,0.345,5.0,2.0,1.216,14.0,19.0,0.198,2.0,0.304,0.752,0.191,0.37666199947252477,0.267,0.465,54.2,3088.0,130.0,1457.0,0.106,0.044,1.0,343.1,5.0,0.167,0.054611088391430015
Structured Collaborator,1187.0,509.0,12.0,14.0,65.0,135.0,0.0118,0.0,0.0,2.0,56.5,40.0,38.0,20.5,78.7,212.4,104.4,12.6,6.515,0.29,0.596,19.0,15.0,9.75,1.896,56.4,0.194,0.0,11.0,15.0,15.0,19.0,0.473,6.0,0.451,0.17,0.818,0.331,0.68,0.614,74.7,2682.0,276.0,316.0,0.564,1.0,2.0,894.0,18.0,0.334,0.378
Independent Solver,1567.0,672.0,5.0,4.0,65.168,86.0,0.0026,25.0,6.0,12.0,304.262,62.0,57.0,7.8,44.6,164.6,73.5,1.8,10.0,0.721,10.0,12.0,5.0,10.0,1.0,-4.0,0.661,4.0,1.0,3.0,16.411,12.0,0.186,3.46,0.476,0.573,0.388,0.24,0.186,0.423,10.8,2531.0,133.0,1491.0,0.04242373540764676,0.167,3.0,1.0,5.0,0.217,0.19
Prompt Engineer Solver,946.0,353.0,4.0,21.0,121.016,179.0,0.0222,2.0,0.0,1.0,57.1,40.0,25.0,1.0,65.8,1009.294,47.9,13.0,2.779,0.329,1.0,22.0,4.0,6.0,0.0,41.9,0.182,0.0,9.0,13.0,38.0,369.804,1.564,4.0,0.382,0.134,0.823,1.0,0.567,0.841,70.9,1.0,276.0,316.0,0.564,0.479,4.0,610.2,31.0,0.59,0.699
Blind Copier,118.0,0.0,14.0,44.0,382.0,1737.0,0.3697,16.191,2.0,2.0,35.5,5.0,4.506,31.3,138.1,338.0,172.7,35.4,0.035,0.187,1.0,20.0,5.0,3.0,0.0,66.6,0.066,0.0,0.0,26.0,36.0,106.0,0.967,1.0,0.424,0.138,0.833,0.306,1.0,0.093,7.46,856.0,10.0,10.0,0.654,0.555,19.0,42.8,46.0,0.562,0.586
Prompt Engineer Solver,846.0,374.0,11.0,12.0,0.0,0.0,0.0142,0.0,0.0,5.0,54.8,21.0,103.141,19.7,59.3,219.0,75.8,34.111,1.0,0.279,4.0,20.0,12.0,1.0,2.0,64.7,0.085,1.765,11.0,13.0,298.849,198.0,0.172,7.0,0.286,0.217,0.779,0.163,0.558,0.876,49.4,3605.0,265.0,1132.635,0.557,0.365,2.0,1201.7,24.0,0.41,1.0
Structured Collaborator,5121.666,547.0,6.0,31.0,15.0,34.0,0.0274,1.0,0.0,3.0,93.5,68.0,50.0,10.4,57.6,300.484,44.3,23.8,10.0,0.273,4.0,14.0,5.0,2.0,0.0,56.9,0.061,0.0,10.0,13.0,5.0,8.0,0.406,4.0,0.235,0.115,0.869,0.103,0.57,0.631,45.0,2933.0,271.787,561.0,0.562,0.232,1.0,1466.5,22.0,0.379,0.375
AI-Dependent Constructor,58.0,113.0,2.0,54.0,170.0,293.0,0.9153,0.0,0.0,5.0,16.1,3.233,6.0,18.1,81.4,745.3,1075.215,26.9,0.032,0.396,4.0,21.0,17.0,5.0,2.0,104.8,0.052,0.0,5.497,27.0,15.0,34.0,0.668,4.817,1.272,0.211,0.761,1.0,0.899,0.049,22.635,600.0,46.0,31.0,0.758,0.202,4.0,120.0,51.0,0.524,0.45
Structured Collaborator,815.0,352.0,13.0,13.0,81.0,732.255,0.0159,4.0,1.0,8.0,51.8,25.0,34.0,5.3,24.0,231.7,96.1,100.843,3.866,0.101,10.0,21.0,18.116,3.0,1.0,45.1,0.09,0.0,10.0,15.0,30.0,40.0,0.386,5.0,0.475,0.122,0.873,0.22369658824524943,1.0,0.681,52.8,2779.0,284.0,246.0,0.501,0.338,1.0,926.3,18.0,0.328,0.335
Exploratory Learner,1148.0,446.0,8.0,16.0,11.0,16.0,0.021691839118305037,21.764,3.0,16.0,74.3,38.0,28.0,0.9,5.1,161.5,52.0,-7.6,10.0,0.322,19.0,4.543,0.0,6.0,8.0,29.2,0.531,4.431,2.0,1.0,6.0,43.937,0.071,0.0,0.793,0.736,0.203,0.26,0.15,0.289,29.4,3657.0,76.0,1315.0,0.004,0.214,11.0,304.8,1.0,0.262,0.284
Structured Collaborator,1253.0,512.0,14.0,10.753,36.066,200.0,0.03545611947413138,0.0,0.0,1.0,47.3,38.0,53.0,10.3,29.7,253.7,556.991,10.0,6.616,0.278,1.0,17.0,10.0,0.0,0.0,73.4,0.08566432005847852,0.0,8.0,26.916,16.0,36.0,0.59,3.0,0.376,0.162,0.793,0.161,0.578,0.618,52.8,2852.0,286.0,410.0,0.375,0.364,1.0,1.0,13.0,0.35,0.349
Independent Solver,1442.0,438.0,29.469,0.0,35.0,94.0,0.0,17.0,4.0,15.0,85.2,41.0,53.489,6.7,23.4,140.8,96.1,-6.5,10.0,0.585,22.0,4.0,1.0,9.0,4.0,15.4,0.619,4.0,1.0,8.0,5.0,7.0,0.413,0.0,1.418,0.20655599807324712,1.0,0.399,0.15094878319064983,0.468,38.8,2611.0,90.0,1489.0,0.17202122591996064,0.121,1.0,186.5,19.0,0.145,0.139
AI-Dependent Constructor,351.0,71.0,3.881,48.0,191.0,466.0,0.1364,1.0,0.0,6.0,38.6,10.0,21.907,21.4,107.5,310.9,216.9,27.2,0.191,0.279,8.0,21.798,7.0,2.0,1.0,329.766,0.16,0.0,5.0,21.0,18.0,42.0,0.663,1.0,0.303,0.2969079475925348,0.868,0.168,0.796,0.031,54.562,1.0,33.0,10.0,0.743,0.324,4.0,120.0,35.0,0.785,1.0
Structured Collaborator,1118.0,486.0,15.0,34.0,351.527,216.0,0.0304,8.0,3.155,8.0,80.0,64.0,73.0,10.8,27.4,150.0,85.0,23.0,1.847,0.172,9.0,20.0,8.0,8.0,4.0,105.2,0.3808559424888736,0.0,11.0,9.0,11.0,22.0,0.368,4.0,0.253,0.168,1.0,0.10506154152148563,0.71,0.67,58.9,2421.0,260.0,393.0,0.473,0.365,4.0,1.0,18.0,0.3175948795520444,0.56
Structured Collaborator,804.0,321.0,17.0,12.0,59.0,131.0,0.0149,8.0,1.0,13.0,46.3,21.0,30.0,19.4,96.0,259.2,90.3,16.8,5.67,0.541,16.0,15.0,12.0,0.0,2.0,81.3,0.169,1.0,10.0,29.455,28.0,55.0,0.388,6.0,0.314,0.198,0.786,0.354,0.586,1.863,44.0,2451.0,274.0,218.0,0.411,0.561,3.0,612.8,14.0,0.359,0.409
Prompt Engineer Solver,1041.0,415.0,21.0,13.0,111.0,188.0,0.0125,18.035,0.0,8.0,54.5,27.0,33.0,9.6,25.0,220.2,134.8,23.6,3.605,0.291,7.0,19.0,14.0,4.0,1.0,61.1,0.086,0.0,10.0,13.0,297.038,123.0,0.566,5.0,0.234,0.141,1.0,0.388,0.581,0.715,66.8,3241.0,340.0,296.0,0.495,0.236,4.0,648.2,67.089,0.49,0.544
Structured Collaborator,741.0,365.565,17.0,33.0,45.0,91.0,0.0445,3.0,1.0,8.301,50.1,44.0,33.0,14.6,33.2,114.616,181.8,14.0,2.493,0.135,12.08,14.0,2.0,3.0,1.0,91.123,0.092,0.0,7.0,15.0,31.0,51.0,0.43,5.27,0.452,0.33097934344330826,0.796,0.3086088364683211,0.359,3.199,54.1,1.0,826.844,291.0,0.412,0.318,1.0,1061.5,18.0,0.406,0.347
Prompt Engineer Solver,216.0,85.0,17.0,32.0,55.0,147.0,0.1475,5.0,0.0,6.0,49.9,10.0,9.0,1.0,22.8,1035.026,159.815,17.4,0.613,1.148,7.718,101.02,14.0,2.0,1.0,28.0,0.148,0.0,6.0,10.0,59.0,106.0,0.243,6.0,0.233,0.18,0.795,0.186,0.522,0.733,62.2,2938.0,309.0,167.0,0.346,0.554,2.0,979.3,24.0,0.499,1.0
Structured Collaborator,10.0,0.0,7.0,10.0,66.0,159.0,0.9091,5.0,1.0,5.0,92.3,5.0,4.0,1.0,35.8,130.0,26.0,3.3,0.076,0.351,6.98,39.224,8.0,2.0,0.0,69.8,0.101,0.0,8.0,12.0,18.0,35.0,0.263,21.251,0.314,0.185,0.5387775921090674,0.399,0.575,0.704,64.3,2600.0,256.0,347.155,0.376,0.484,1.0,1300.0,25.0,0.393,0.441
Blind Copier,307.0,0.0,29.592,46.0,387.0,3024.0,0.1494,4.0,1.0,14.0,26.9,8.0,6.0,20.9,543.846,446.1,179.6,137.808,0.086,0.365,12.0,27.0,23.0,0.0,6.0,42.493,0.6805597764535791,0.0,0.0,27.0,21.0,35.0,1.075,0.0,0.3,0.219,0.717,0.142,0.955,0.094,4.6,1.0,10.0,36.783,0.807,0.49,39.0,28.1,48.0,0.712,0.833
Prompt Engineer Solver,3134.359,292.0,20.0,1.0,36.0,226.1,0.0011,9.381,1.0,10.0,77.0,28.0,37.0,1.0,47.9,155.8,105.7,40.696,10.0,0.365,13.0,30.0,22.0,1.0,14.119,52.4,0.124,0.0,10.0,15.93,165.057,85.0,0.349,6.0,0.215,0.112,0.846,0.381,0.638,2.136,65.2,1.0,1354.123,213.0,0.46,0.419,1.0,1.0,18.0,0.365,0.319
Blind Copier,834.0,50.0,7.0,52.0,321.0,2878.0,0.0623,6.0,0.0,5.0,21.4,12.168,58.623,27.0,72.1,560.7,263.5,45.9,0.25,0.379,6.0,17.0,7.0,0.0,2.0,86.9,0.06,0.0,0.0,26.0,9.0,22.0,0.862,0.0,0.345,0.297,0.632,0.361,0.923,0.09,97.745,1917.0,55.0,116.0,0.822,0.323,5.0,319.5,55.0,0.772,0.92
Iterative Debugger,4124.375,596.0,8.0,4.0,0.0,0.0,0.003920376039373362,17.0,3.0,37.0,57.2,92.0,95.0,9.4,19.9,209.8,223.722,-6.1,10.0,0.511,39.0,7.0,3.0,12.0,3.0,31.0,0.331,5.0,1.0,1.0,10.0,18.0,0.21,1.0,0.461,0.832,0.109,0.9060105376244558,0.272,0.241,17.5,1.0,157.0,1436.0,0.2525817373531146,0.161,9.0,380.3,2.0,0.129,0.116
